barcode	name	calories	protein	carbs	fat	source
0000204286484	Mehrkomponeneten Protein 90 C6 Haselnuß	361	85.5	2.5	1	nutrition.aggregated_set
0000250632969	Mehrkomponeneten Protein 90 C6 Banane	361	85.5	2.5	1	nutrition.aggregated_set
0000460938714	100% Soja Protein Haselnuss	363	88.5	1.1	0.5	nutrition.aggregated_set
0000470322800	Whey Protein aus Molke Vanilla	389	78.1	8.8	4.6	nutrition.aggregated_set
0000501050603	Whey Protein aus Molke 1000 Gramm Vanilla	389	78.1	8.8	4.6	nutrition.aggregated_set
0000526938306	Whey Protein aus Molke 500 Gramm Vanilla	389	78.1	8.8	4.6	nutrition.aggregated_set
0002042861915	Mehrkomponeneten Protein 90 C6 Vanille	361	85.5	2.5	1	nutrition.aggregated_set
0009300001809	Kosher dills	0	0	0	0	nutrition.aggregated_set
00011686	15 all butter sultana cookies	446	5.5	64.3	17.9	nutrition.aggregated_set
00025393	Creveten	126	5	10	6	nutrition.aggregated_set
00028172	Apfelrotkohl	58	1.5	9	1.8	nutrition.aggregated_set
0011110587213	Kroger, mild cheddar slices	381	23.8	4.8	33.3	nutrition.aggregated_set
0011110819185	Green Peas	82	4.7	14.1	0	nutrition.aggregated_set
0011110850041	Enriched, Spaghetti	357	12.5	75	1.8	nutrition.aggregated_set
0011110850218	Enriched, Elbow Macaroni	357	12.5	75	1.8	nutrition.aggregated_set
0011110850713	Enriched Macaroni Product, Rotini	357	12.5	75	1.8	nutrition.aggregated_set
0011110872692	Rotini, whole wheat macaroni product	321	12.5	71.4	2.7	nutrition.aggregated_set
0011110875778	Tater bites	151	2.4	23.8	9.5	nutrition.aggregated_set
0011110893055	Unsalted butter sticks	714	0	0	78.6	nutrition.aggregated_set
0011110897367	Kroger, green peas	82	4	12	0	nutrition.aggregated_set
0011152004907	Miso Rouge	176	12	19	5.3	nutrition.aggregated_set
0011152038513	Tomoshiraga somen	345	9.1	72.7	1.8	nutrition.aggregated_set
0011152134079	Dashi Kombu Dried Seaweed	200	0	40	0	nutrition.aggregated_set
0011210006508	Tabasco Habanero Sauce	121	1.5	23	0	nutrition.aggregated_set
0011210607040	Tabasco smoked chipotle	51	1.3	10	0.5	nutrition.aggregated_set
0012345678905	Funeralopolis	340	8	80	0	nutrition.aggregated_set
